ProductID,CategoryID,ProductName,Price,Description,HowToUse,Dosage,Stock,MainImagePath,IsActive,WeightInGrams,ShortDescription,MRP
15,NULL,PSB Powder (Phosphate Solubilizing Bacteria) (1 kg),90,"PSB Powder (Phosphate Solubilizing Bacteria)    Unlock locked phosphorus in your soil - naturally!  Most soils already have phosphorus, but plants can’t absorb it. PSB powder converts this locked phosphorus into an easily available form, giving your plants stronger roots, faster growth, and better flowering - naturally.    .. Key Benefits  .. Improves root development  .. Boosts flowering & fruiting  .. Enhances nutrient uptake  .. Reduces need for chemical DAP  .. Improves soil fertility naturally  .. Eco-friendly    .. Best For  Vegetables .. Flowers .. Fruit plants .. Indoor plants .. Lawn .. Pots & grow bags    Pro Tip  For best results, use PSB with Jeevamrut, PROM granules, or vermicompost to build strong soil life.  .. Healthy roots = Healthy plants = Better harvest!","Mix with soil or compost as required, and use regularly with other soil boosters.",Store sealed in a dry location and avoid exposure to sunlight.,999,/Images/Products/16b05315_psb.jpg,1,1020,Phosphorus booster for better nutrient availability,120
16,NULL,Trichoderma Viride Powder (1 kg),120,"Trichoderma viride - Natural Shield for Your Plants    Protect your plants from soil-borne diseases the organic way!    Trichoderma viride is a powerful beneficial fungus that controls harmful pathogens and boosts root health naturally.    .. Controls: Root rot, damping-off, wilt, collar rot  .. Strengthens roots & improves nutrient uptake  .. Enhances soil health with beneficial microbes  .. Eco-friendly - for kitchen gardens & farms    Best for: Vegetables, flowers, fruit plants, indoor & outdoor pots  Give your plants a natural immunity boost - grow healthy, grow safe! ",Use 1 tsp per 12-inch pot in the soil mix as needed.,"Store in a cool, dry place away from heat and moisture. Use before expiry for best results.",999,/Images/Products/2973e69e_trichoderma.jpg,1,1020,Natural bio-fungicide for healthy root protection,160
17,NULL,Vermicompost (1 kg),25,"Vermicompost is a natural soil conditioner that improves soil fertility, water retention, flowering, and fruiting for home, balcony, and terrace gardens.",Use a handful per 12-inch pot in the soil mix every 10-15 days.,"Store in a cool, moist place. Avoid exposure to rain and direct sun.",999,/Images/Products/e013e4be_vermi.jpg,1,1010,Natural compost for richer soil and healthy plants,30
18,NULL,Perlite Granules (2-6 mm) (500g),70,"Perlite Granules (2-6 mm) - Lightweight Soil Booster      Benefits:    Improves soil aeration & drainage    Prevents root rot and compaction    Keeps soil light and fluffy    Ideal for seedlings, succulents, indoor plants & grow bags    Neutral pH, reusable & long-lasting",Blend with soil or cocopeat to reduce compaction and improve root zone air flow.,Handle gently to reduce dust. Store dry in a sealed bag.,999,/Images/Products/3ddcc7e7_perlite0.jpg,1,900,Lightweight mix for drainage and root aeration,90
19,NULL,Vermicompost (5 kg),99,"Vermicompost is a natural soil conditioner that improves soil fertility, water retention, flowering, and fruiting for home, balcony, and terrace gardens.",Use a handful per 12-inch pot in the soil mix every 10-15 days.,"Store in a cool, moist place. Avoid exposure to rain and direct sun.",999,/Images/Products/3c6fd3_vermi.jpg,1,5200,Natural compost for richer soil and healthy plants,150
20,NULL,12x12 inch Plant Grow Bag (Round) (1 piece),55,"A durable UV-stabilized grow bag for terrace gardening, balcony gardening, and home nursery use. Ideal for growing vegetables, herbs, and flowering plants in limited space.","Fill with potting mix, make drainage holes if needed, and place in a sunny spot for best plant growth. Note that color may vary compared to image shown, based on HDPE material",Wash and dry between uses. Store folded in a dry place away from sharp objects.,999,/Images/Products/7719c7c0_grow bag 12x12.jpg,1,99.99,UV-stabilized grow bag for terrace and balcony gardening,65
21,NULL,15x15 inch Plant Grow Bag (Round) (1 piece),75,"A durable UV-stabilized grow bag for terrace gardening, balcony gardening, and home nursery use. Ideal for growing vegetables, herbs, and flowering plants in limited space.","Fill with potting mix, make drainage holes if needed, and place in a sunny spot for best plant growth. Note that color may vary compared to image shown, based on HDPE material",Wash and dry between uses. Store folded in a dry place away from sharp objects.,999,/Images/Products/525db0_grow bag 15x15 bag.png,1,130,UV-stabilized grow bag for terrace and balcony gardening,90
22,NULL,15x6 inch Plant Grow Bag (Round) (1 piece),50,A durable UV-stabilized grow bag for compact terrace gardening and balcony gardening. Suitable for shallow-rooted crops and small flowering plants.,"Fill with potting mix, make drainage holes if needed, and place in a sunny spot for best plant growth. Note that color may vary compared to image shown, based on HDPE material",Clean after use and keep away from direct heat when stored.,999,/Images/Products/a6735222_grow bag 15x6 1.png,1,80,UV-stabilized grow bag for terrace and balcony gardening,65
23,NULL,Epsom Salt (Magnesium Sulphate) (1 kg),75,"Epsom Salt is high-purity, fully water-soluble source of Magnesium and Sulphur, essential nutrients for healthy plant growth and greening.    Benefits  Corrects magnesium deficiency (leaf yellowing)  Improves chlorophyll formation & photosynthesis  Enhances flowering and fruit quality  Supports strong growth in pots and soil    Suitable For Roses, vegetables, fruit plants, citrus, flowering plants, terrace & kitchen gardens",Dissolve 1 tsp in 1 litre of water and spray on plants in the evening. Repeat as needed when magnesium deficiency appears.,Store in a dry airtight container. Keep away from moisture and use only as needed.,999,/Images/Products/fc77203c_epsom salt.jpg,1,1010,Magnesium supplement for greener leaves,100
24,NULL,Fulvic Acid Powder (500g),150,"Fulvic Acid Powder is a water-soluble nutrient booster that improves nutrient uptake, faster growth, recovery, and plant strength for all plants.",Spray at 0.5 g/L or apply to soil at 1-2 g/L every 15-20 days.,Store sealed in a dry place. Avoid breathing dust while handling the powder.,999,/Images/Products/1194d20f_fulvicpowder.jpeg,1,570,Fast-acting nutrient booster for quick plant recovery,200
25,NULL,Humic Acid Flakes (500g),130,"Humic Acid Flakes are a water-soluble soil booster that improves soil condition, root development, nutrient absorption, and overall plant growth.",Mix with water and apply as a root drench or soil booster according to plant requirement.,Store in a cool dry place. Keep the product sealed and protect from moisture.,999,/Images/Products/d22f9aa0_humicflakes.jpeg,1,700,Soil enhancer for stronger roots and healthier plants,160
26,NULL,Jeevamrut (1 litre),99,"Jeevamrut - Nature’s Secret for Healthy, Thriving Plants!      Give your plants a natural boost with Jeevamrut, a bio-fertilizer that brings your soil to life!    It’s rich in beneficial microbes, natural enzymes, and nutrients that improve soil health, boost plant growth, and increase yield - the Desi way!      .. Why Use Jeevamrut?    .. Promotes faster and healthier growth   .. Enhances flowering & fruiting naturally   .. Improves soil fertility and earthworm activity    .. Helps retain soil moisture & reduces fertilizer cost    .. Naturally safe for soil, crops, and the environment    Note: Jeevamrut - Bottle Opening Guide    Jeevamrut is a natural, live product, so mild gas formation is normal.    How to open without spilling:    Don’t shake the bottle.    Loosen the cap slightly to release gas slowly.    Wait 10-15 seconds for pressure to settle.    Open fully after fizzing stops.    For tight/swollen bottles, release gas in 2-3 small intervals.      Natural products may change colour or smell over time - this is normal and safe",Dilute 1 litre in 10 to 15 litres of water. Pour about 50?100 ml of diluted liquid into each pot every 15?20 days.,Store in a shaded place and use soon after opening for best microbial activity.,999,/Images/Products/jeevamrut1.jpg,1,1020,Microbial growth booster for living soil support,130
27,NULL,Liebigs Cutting Aid Rooting Hormone (100 gm),199,"Liebigs Cutting Aid® - Advanced Rooting Hormone for Fast & Healthy Root Formation  (IBA .. NAA .. PHB - Professional Grade Root Promoter)  Trusted by nurseries, growers & distributors across India    Cutting Aid® is a powerful, scientifically formulated rooting hormone designed to boost root initiation, accelerate plant establishment, and protect new roots from infections. Made with a premium blend of IBA, NAA, PHB, Cutting Aid® is ideal for commercial nurseries, replanting projects, landscaping companies, home gardens, and horticulture farms.    Whether you're rooting softwood, hardwood, or semi-hardwood plants, Cutting Aid® delivers consistent and reliable results-without any grade classification. No need to choose 1, 2, 3 or A, B, C. One formula works for all types of cuttings, making it extremely convenient for large nursery operations.     Why Nurseries Prefer Cutting Aid®  .. One Formula for All Plants  Suitable for:  Softwood plants  Semi-hardwood plants  Hardwood plants  No separate grade selection required-simple and highly effective.    .. Fast Root Initiation  Contains high-quality IBA + NAA + PHB for:  Rapid root cell division  Strong primary & secondary root development  Faster transplant establishment    .. Root Disease Protection  Cutting Aid® protects delicate new roots from:  Fungal infections  Soil-borne pathogens  Environmental stress during rooting  This ensures higher survival rate and healthier plant growth.    .. Perfect for Nurseries & Propagation Units  Cutting Aid® is widely used in the propagation of:  Fruit plants  Ornamental plants  Medicinal plants  Forestry saplings  Shade trees  Shrubs & landscape plants","Mix 3 g per litre of water, dip cuttings for a few minutes, then plant in moist soil. Powder can also be applied at the base of the cutting.",Store tightly closed in a cool dry place. Keep away from moisture and always use clean tools while propagating plants.,999,/Images/Products/rooting hormone.jpg,1,105,Rooting hormone for faster cutting propagation,208
28,NULL,Seaweed Extract (1 litre),249,"Liquid Seaweed Extract - Natural Plant Booster  100% water soluble     .. Promotes fast root growth  .. Makes leaves greener & healthier  .. Improves flowering & fruiting  .. Helps plants handle heat, drought & transplant stress    Ideal for vegetables, fruits, flowers, indoor & outdoor plants.    Shake well before use","Dilute 3 to 5 ml in 1 litre of water and spray or pour into soil in the evening. Repeat every 10?15 days, alternating with humic liquid.",Store sealed away from sunlight. Shake well before application.,999,/Images/Products/seaweed.jpg,1,1040,Natural growth booster for flowering and greener leaves,349
29,NULL,Seaweed Extract (500 ml),179,"Liquid Seaweed Extract - Natural Plant Booster  100% water soluble     .. Promotes fast root growth  .. Makes leaves greener & healthier  .. Improves flowering & fruiting  .. Helps plants handle heat, drought & transplant stress    Ideal for vegetables, fruits, flowers, indoor & outdoor plants.    Shake well before use","Dilute 3 to 5 ml in 1 litre of water and spray or pour into soil in the evening. Repeat every 10?15 days, alternating with humic liquid.",Store sealed away from sunlight. Shake well before application.,999,/Images/Products/seaweed.jpg,1,520,Natural growth booster for flowering and greener leaves,249
31,NULL,Neem Oil (1500 PPM Emulsified) (500 ml),360,"Emulsified Neem Oil is a powerful pest management solution for farmers, gardeners, and home growers who want effective pest control. It protects crops while improving plant vitality and leaf health.      Key Features:    .. Powerful Pest Protection: Controls a wide range of pests including aphids, whiteflies, thrips, mites, mealybugs, jassids, hoppers, leaf miners, fruit borers, pod borers, stem borers, caterpillars, beetles, scales, and leaf rollers.    .. Preventive + Curative: Disrupts pest feeding and breeding cycles, preventing future infestations.    .. Ready-to-Mix: Fully emulsified - just mix with water and spray. No soap or emulsifier needed.    .. Plant Health Booster: Enhances immunity, improves leaf shine, and promotes vigorous, green growth    Suitable For:  All field crops, fruits, vegetables, spices, pulses, oilseeds, cotton, plantation crops, nursery, and ornamental plants.","1. Dilution: Mix 3-5 ml per liter of water (depending on pest intensity).    2. Preparation: Shake bottle well before use. Mix thoroughly in a clean container.    3. Application:  Spray evenly on both sides of leaves using a hand or power sprayer.    Best time: early morning or evening (avoid hot sunlight).    4. Frequency: Apply once every 7-10 days, or more frequently for severe infestations.    5. Compatibility: Can be mixed with most bio-fertilizers and growth promoters","Store in a cool, dry place away from sunlight.  Keep tightly closed after use.  Spray in evening time recommended.",999,/Images/Products/neem oil.png,1,520,Natural neem oil pest control for garden plants,400
32,NULL,Neem Oil (300 PPM Emulsified) (500 ml),260,"Emulsified Neem Oil is a powerful pest management solution for farmers, gardeners, and home growers who want effective pest control. It protects crops while improving plant vitality and leaf health.      Key Features:    .. Powerful Pest Protection: Controls a wide range of pests including aphids, whiteflies, thrips, mites, mealybugs, jassids, hoppers, leaf miners, fruit borers, pod borers, stem borers, caterpillars, beetles, scales, and leaf rollers.    .. Preventive + Curative: Disrupts pest feeding and breeding cycles, preventing future infestations.    .. Ready-to-Mix: Fully emulsified - just mix with water and spray. No soap or emulsifier needed.    .. Plant Health Booster: Enhances immunity, improves leaf shine, and promotes vigorous, green growth    Suitable For:  All field crops, fruits, vegetables, spices, pulses, oilseeds, cotton, plantation crops, nursery, and ornamental plants.","1. Dilution: Mix 3-5 ml per liter of water (depending on pest intensity).    2. Preparation: Shake bottle well before use. Mix thoroughly in a clean container.    3. Application:  Spray evenly on both sides of leaves using a hand or power sprayer.    Best time: early morning or evening (avoid hot sunlight).    4. Frequency: Apply once every 7-10 days, or more frequently for severe infestations.    5. Compatibility: Can be mixed with most bio-fertilizers and growth promoters","Store in a cool, dry place away from sunlight.  Keep tightly closed after use.  Spray in evening time recommended.",999,/Images/Products/neem oil.png,1,520,Natural neem oil pest control for garden plants,300
33,NULL,2 Litre Pressure Sprayer Bottle (1 sprayer),200,"Handy pump sprayer ideal for gardening, plant care, and general cleaning.  Creates a fine mist spray perfect for applying liquid fertilizers, seaweed extract, neem oil, or watering plants.  .. 2 Litre capacity  .. Easy hand pump pressure system  .. Adjustable nozzle (mist to jet spray)  .. Durable, lightweight design  A useful tool for every home gardener to spray nutrients or protect plants easily.","Fill with the required solution, pump pressure, and spray using mist or jet setting as needed.",Rinse after every use and store empty and dry. Check nozzle cleanliness regularly.,999,/Images/Products/sprayer1.png,1,550,Handy pressure sprayer for garden liquid application,250
34,NULL,Nylon Nitrile Coated Garden Gloves (Free Size) (1 pair),49,"Nylon Nitrile Coated Cut-Resistant Gloves  Durable nylon gloves with nitrile coating for better grip and protection. Suitable for construction, agriculture, recycling, gardening, household work, and handling glass or metal sheets. Cotton lining for comfort and breathability. Free size, grey & white.  Images for reference only; actual product may vary.","Wear while handling soil, fertilizers, or garden tools to protect your hands and improve grip.",Wash after use and let them dry naturally. Store in a clean dry place.,999,/Images/Products/gloves1.jpg,1,60,Comfortable multipurpose gardening gloves for safe plant care,70
35,NULL,Amaranthus Green (Tandalia Bhaji) (100 seeds),30,Amaranthus Green seeds are ideal for quick harvest leafy greens in kitchen and balcony gardens.,Broadcast or sow in rows in loose soil and harvest young leaves regularly.,Keep moisture steady and harvest frequently for fresh tender leaves.,999,/Images/Products/amaranth green.jpg,1,10,Fast harvest leafy green seeds for kitchen garden,40
36,NULL,Amaranthus Red (Tandalia Bhaji) (50 seeds),30,Amaranthus Red seeds produce colourful nutritious leafy greens for seasonal home gardening.,Sow thinly in prepared soil and harvest tender leaves regularly.,Provide full sun and water gently to avoid disturbing seedlings.,999,/Images/Products/amaranth red.jpg,1,10,Colourful leafy green seeds for home garden,40
37,NULL,Bitter Gourd (Karela) (10 seeds),30,Nutritious bitter gourd seeds for productive summer and monsoon vegetable gardening.,Sow in pockets of fertile soil and provide a trellis for climbing growth.,Water consistently and protect from pest attack with neem-based care.,999,/Images/Products/bitter-gourd.jpg,1,10,Climbing bitter gourd seeds for kitchen garden,40
38,NULL,Bottle Gourd (Lauki) (1 seed packet BIOCARVE),40,"Fast-growing bottle gourd seeds for large, cooling vegetables in the home kitchen garden.",Sow in fertile soil and support vines with a trellis or fence.,Keep soil moist and mulch around the plant to retain water.,999,/Images/Products/bottle gourd long Biocarve.jpg,1,10,Fast-growing bottle gourd seeds for home harvest,65
39,NULL,Bottle Gourd (Lauki) (10 seeds),30,"Fast-growing bottle gourd seeds for large, cooling vegetables in the home kitchen garden.",Sow in fertile soil and support vines with a trellis or fence.,Keep soil moist and mulch around the plant to retain water.,999,/Images/Products/bottle gourd2.png,1,10,Fast-growing bottle gourd seeds for home harvest,40
40,NULL,Brinjal (Purple Round) (30 seeds),30,"Productive brinjal variety suited to pots, terrace gardens, and home vegetable growing.",Sow in nursery trays and transplant seedlings after they are strong.,Keep soil evenly moist and provide full sun for better fruiting.,999,/Images/Products/brinjal purple round.jpg,1,10,Productive brinjal seeds for terrace gardening,40
41,NULL,Cluster Beans (Guar Phali / Guvar) (20 seeds),30,Tender cluster beans seeds for nutritious monsoon kitchen gardening and home harvests.,Sow directly in soil and thin seedlings once they emerge.,Keep soil lightly moist and avoid excess fertiliser early on.,999,/Images/Products/clusterbean1.jpg,1,10,Nutritious cluster bean seeds for monsoon gardening,40
42,NULL,Cowpea (Chowdi Papdi / Lobia Fali) (10 seeds),30,"Cowpea seeds for protein-rich, drought-tolerant home garden harvesting.",Sow directly in open soil and space plants for proper airflow.,Water moderately and avoid shade for good flowering and pod set.,999,/Images/Products/cowpea1.jpg,1,10,Protein-rich cowpea seeds for warm-season planting,40
43,NULL,Cucumber (Kakri) (20 seeds),30,Crisp cucumber seeds for high-yield summer gardening and refreshing harvests.,Sow in loose soil with good drainage and provide vertical support if needed.,Water regularly and protect young plants from strong wind.,999,/Images/Products/cucumber.jpg,1,10,Fast-growing cucumber seeds for summer harvest,40
44,NULL,Custard Apple (Sitafal / Sharifa) (10 seeds),30,Custard Apple seeds for growing delicious fruit plants in a home orchard or large container.,Sow in nursery pots and transplant carefully after germination.,Use deep soil and maintain regular watering in the early stage.,999,/Images/Products/Custard-Apples.png,1,10,Fruit tree seeds for home garden planting,40
45,NULL,Desi Papaya (10 seeds),20,Desi Papaya seeds for fast-growing fruit plants suited to home gardens and open soil.,Sow fresh seeds in nursery media and transplant when seedlings are sturdy.,Keep in a warm sunny location and protect from standing water.,999,/Images/Products/papaya.jpg,1,10,Fast-growing papaya seeds for home orchard,30
46,NULL,Green Chilli (20 seeds),20,"Spicy fresh harvest, ideal for continuous picking in kitchen gardens.",Sow in well-drained soil and keep moist until germination.,Keep trays or pots in a warm sunny place and avoid waterlogging.,999,/Images/Products/chilly green long.jpg,1,10,High germination chilli seeds for kitchen garden,40
47,NULL,Ladyfinger (Okra Green) (20 seeds),30,"Ladyfinger seeds for easy-to-grow, nutritious okra pods in balcony and terrace gardens.",Sow directly in warm soil and keep a sunny location.,"Avoid overwatering; okra grows best in warm, well-drained soil.",999,/Images/Products/okra.jpg,1,10,High-yield okra seeds for home gardening,40
48,NULL,Moringa Drumstick (10 seeds),30,Moringa Drumstick seeds for all-season nutritious leaves and pods in home gardens.,Sow directly in fertile soil and keep in a sunny area.,Water moderately and prune lightly for better branching.,999,/Images/Products/drumstick1.jpg,1,15,Natural moringa superfood powder for daily wellness,40
49,NULL,Onion (50 seeds),30,"Onion seeds for home-grown, flavourful bulbs suited to Indian kitchen gardens.",Start in nursery trays or seed beds and transplant when seedlings are ready.,Keep beds weed-free and water lightly to avoid bulb rot.,999,/Images/Products/onion seeds.jpg,1,10,Home garden onion seeds for fresh harvest,40
50,NULL,Pigeon Pea (Tuvar / Toor) (10 seeds),30,Protein-rich pigeon pea seeds for monsoon cropping and home-grown dal harvest.,Sow in full sun and allow enough space for branching.,Keep soil moist during establishment and avoid overwatering later.,999,/Images/Products/pigeonpea1.jpg,1,10,Protein-rich tuvar seeds for monsoon garden,40
51,NULL,Purslane (Luni Bhaji / Kulfa) (20 seeds),20,"Purslane seeds for a nutritious, drought-tolerant leafy green with fast harvest potential.",Sow thinly on the soil surface and water lightly until established.,Avoid waterlogging and harvest frequently for tender leaves.,999,/Images/Products/luni.jpg,1,10,Drought-tolerant leafy green seeds for quick harvest,30
52,NULL,Red Malabar Spinach (Lal Poi) (10 seeds),30,Heat-tolerant climbing leafy green seeds for nutritious home garden harvesting.,Sow near a support structure and keep soil rich and moist.,Train the climber on a trellis and harvest young leaves regularly.,999,/Images/Products/lal poi1.jpg,1,10,Heat-tolerant leafy green seeds for home garden,40
53,NULL,Ridge Gourd (Turai / Tori) (10 seeds),30,Ridge gourd seeds for fast-growing climbing vegetables suited to terrace and rooftop gardens.,Sow in nutrient-rich soil and provide a climbing structure.,Water regularly and harvest tender fruits for best taste.,999,/Images/Products/Ridgegourd.jpg,1,10,Climbing ridge gourd seeds for terrace garden,40
54,NULL,Sponge Gourd (Gilki / Galka) (10 seeds),30,Sponge gourd seeds for tender edible fruits and versatile home garden harvesting.,Sow in warm soil and provide support for vine growth.,Keep vines supported and water deeply but not too often.,999,/Images/Products/sponge gourd.jpg,1,10,Tender sponge gourd seeds for fresh home harvest,40
55,NULL,Surti Papdi (Broad Beans) (10 seeds),30,Surti papdi seeds give tender pods that are well suited to monsoon vegetable gardens.,Sow directly and keep the plant supported if needed.,Maintain moderate moisture and pick pods when tender.,999,/Images/Products/Surti papdi.jpg,1,10,Tender broad bean seeds for monsoon harvest,40
56,NULL,Beetroot (1 seed packet BIOCARVE),40,"Sweet beetroot seeds for colourful, nutritious roots and salad harvests.",Sow in loose soil and thin seedlings for better root formation.,Keep soil evenly moist and harvest roots before they become woody.,999,/Images/Products/beetroot.jpg.jpeg,1,15,Sweet beetroot seeds for winter kitchen garden,40
57,NULL,Broccoli (1 seed packet BIOCARVE),40,Broccoli seeds for nutrient-packed florets and high-antioxidant home harvesting.,Raise seedlings first and transplant into fertile soil in a sunny area.,Protect from heat and keep the soil evenly moist.,999,/Images/Products/broccoli bc.jpg.jpeg,1,15,Nutrient-rich broccoli seeds for cool-season harvest,60
58,NULL,Cabbage (30+ seeds),40,"Cabbage seeds for firm heads that are ideal for salads, cooking, and winter cropping.",Start in nursery trays and transplant when seedlings are strong.,Keep plants fed and water consistently for tight heads.,999,/Images/Products/cabbage.jpeg,1,10,Firm cabbage seeds for winter garden success,45
59,NULL,Carrot (50 seeds),30,Crunchy carrot seeds for vitamin-rich roots in rabi season kitchen gardens.,"Sow directly in fine, stone-free soil for straight root growth.",Avoid transplanting and keep the soil loose and moist.,999,/Images/Products/carrot.jpg,1,10,Crunchy carrot seeds for rabi season gardening,40
60,NULL,Cauliflower (30+ seeds),40,Cauliflower seeds for large creamy heads and excellent winter garden performance.,"Start in nursery trays and transplant into rich, well-drained soil.","Keep plants cool, fertile, and evenly watered.",999,/Images/Products/cauliflower.png,1,10,Winter cauliflower seeds for large creamy heads,45
61,NULL,Coriander (Dhania) (50 seeds),30,"Coriander seeds for fresh leaves, aromatic harvests, and fast-growing kitchen garden use.",Crush lightly before sowing and keep seed beds moist until germination.,Avoid heat stress and harvest leaves regularly.,999,/Images/Products/coriander.jpg,1,10,Aromatic coriander seeds for fresh kitchen use,40
